ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,salvage,verwertung,récupération,desguace,reciclagem,утилизация,サルベージ
1,,weatherproof,wetterfest,impénétrable,impenetrable,resistência a intempéries,всепогодность,環境耐性
2,,focus,fokus,concentration,concentración,foco,фокус,フォーカス
3,,scanner,scanner,scanner,escáner,scanner,сканер,スキャナー
4,,stealth,verstohlenheit,furtivité,sigilo,furtividade,скрытность,ステルス
5,,discount,rabatt,remise,descuento,desconto,скидка,割引
6,,autobomb,autobombe,autobombe,autobomba,autobomba,автобомба,オートボム
7,,plating,rüstung,blindage,blindaje,blindagem,броня,追加装甲
8,,artifact,artefakt,artefact,artefacto,artefato,артефакт,アーティファクト
9,,blink,beflügelt,clignotement,parpadeo,rompante,рывок,ブリンク
10,,second wind,aufschwung,second souffle,vida nueva,novo fôlego,второе дыхание,起死回生
11,,extra pow,das extra pow,puissance bonus,potencia extra,poder extra,доп. мощь,エクストラボム
12,,fortune,vermögen,fortune,fortuna,espólio,удача,フォーチュン
13,,reserves,reserven,réserves,reservas,reservas,резерв,予備武装
14,,power eternal,ewige macht,pouvoir éternel,poder eterno,poder eterno,вечная сила,「永遠の力」
15,,quickening,erquickung,accélération,estímulo,vivificação,ускорение,胎動
16,,scrap runner,schrottläufer,ferrailleur,devorachatarra,sucateiro,гонка лома,スクラップランナー
17,,capacity,kapazität,capacité,capacidad,capacidade,вместимость,大容量
18,,expansion port,erweiterungsanschluss,extension du port,expansión,porta de expansão,порт расширения,拡張ポート
19,,packrat,sammelwütig,collectionneur,acaparamiento,colecionador,коллекционер,溜め込み癖
