ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
,Room labels.,,,,,,,
0,,unexplored,unerforscht,inexplorée,inexplorada,inexplorada,не исследовано,未探索
1,,press select to teleport,eingabe um zu teleportieren,choisis-en une où te téléporter,selecciona para teletransportarte,selecione para se teletransportar,выбери для телепорта,選択してテレポート
2,,you are here,du bist hier,tu es ici,estás aquí,você está aqui,ты здесь,現在地
3,,cannot reach this area,unerreichbar,zone inaccessible,zona inalcanzable,não é possível acessar essa área,зона недоступна,このエリアには入れない
,Secondary screen.,,,,,,,
4,,upgrades,upgrades,améliorations,mejoras,aprimoramentos,улучшения,アップグレード
5,,cartridges,steckmod.,cartouches,cartuchos,cartuchos,картриджи,カセット
6,,keywords,schlüsselworte,mots-clés,palabras clave,palavras-chave,ключевые слова,キーワード
7,,blessing,segen,bénédiction,bendición,bênção,благословение,祝福
8,,bombs,bomben,bombes,bombas,bombas,бомбы,ボム
9,,active,aktiv,active,activa,ativo,активный,アクティブ
,Tip.,,,,,,,
10,,bomb button,bombentaste,bouton bombe,pulsa 'bomba',botão de bomba,кнопка бомбы,ボムボタン
11,,dash button,tauchtaste,bouton propulsion,pulsa 'impulso',botão de acelerar,кнопка рывка,ダッシュボタン
12,,to break weapon,waffe brechen,pour casser une arme,para romper arma,quebrar arma,сломать оружие,武器を破壊
13,,to extend info,extra info,pour plus d'infos,para ver más info,exibir mais informações,подробнее,詳細へ
,None.,,,,,,,
14,,-none-,-keins-,-aucune-,-nada-,-vazio-,-нет-,-無し-
,Impossible note.,,,,,,,
15,,-impossible-,-unmöglich-,-impossible-,-imposible-,-inacessível-,-невозможно-,-不可能-
,Skully stats.,,,,,,,
16,,stats,statistik,stats,atributos,atributos,характеристики,データ
17,,damage,schaden,dégâts,daño,dano,урон,ダメージ
18,,max ammo,max ammo,munitions max,munición máx.,munição máxima,макс. боезапас,最大弾数
19,,fire speed,feuergeschw.,vitesse tir ,vel. disparo ,vel. disparo ,скорострельность,攻撃速度
20,,crit chance,krit. chance,taux critique,prob. crítico ,prob. crítico ,шанс крита,クリティカル率
21,,crit damage,krit. schaden,dégâts crit. ,daño crítico,dano crítico,крит. урон,クリティカルダメージ
,Skully status.,,,,,,,
22,,"ohhh, shiny!","ohhh, glänzend!","ooh, ça brille !","hola, ¡preciosidad!","ohhhh, que brilhante!","оооо, блестит!",すごい、光ってる！
23,,where we goin?,wo gehen wir hin?,on va où ?,¿adónde vamos?,para onde vamos?,куда идём?,どこに向かってるんだ？
24,,hey there handsome.,na ihr hübschen?,"salut, mon beau.","hola, hermosura.","olá, lindeza.",привет красавчик.,やあ、今日もステキだね。
25,,shhhhhhh.,shhhhhhh.,chut.,shhhhhh.,chiiiiiu.,тшшшш.,シーッ。
26,,have we met before?,kennen wir uns?,on se connaît ?,¿nos conocemos?,já nos conhecemos?,мы раньше встречались?,前にどこかで会ったっけ？
27,,that's cool.,ist kuhl.,c'est cool.,genial.,que legal.,круто.,いいね。
,Skully on full HP.,,,,,,,
28,,lookin' good!,alles gut!,tout va bien !,¡me siento genial!,tudo ótimo!,отлично выглядишь!,元気そうだな！
29,,no worries.,keine sorgen.,pas de souci.,todo correcto.,sem problemas.,всё норм.,心配ない。
,Skully low HP.,,,,,,,
30,,you gonna eat that?,wirst du das essen?,tu vas manger ça ?,¿vas a comerte eso?,você vai comer isso?,ты это съешь?,それを食べるのか？
31,,stop that.,hör damit auf.,arrête.,para ya.,pare com isso.,хватит.,やめとけよ。
32,,you need a break?,brauchst du pause?,besoin d'une pause ?,¿necesitas descansar?,precisa de uma pausa?,тебе нужна пауза?,一回休んどく？
33,,my lips are sealed!,meine lippen sind zu!,je ne vais rien dire !,¡no diré nada!,minha boca é um túmulo!,я нем!,僕は喋れないんだ！
34,,oof. ow.,oof. ow.,ouf. aïe.,ufff. ay.,aff. ai.,уф. ай.,おっとっと。
35,,oops.,oops.,mince.,cachis.,ops.,упс.,おおっと。
36,,not you too.,nicht du auch.,"pas toi, aussi.",¿para ti también?,até você?,только не ты.,あんたもなのか。
,Skully with 10+ modules.,,,,,,,
37,,im feeling ...powerful.,ich fühle mich ...mächtig.,je me sens... fort.,siento... poder.,me sinto... poderoso.,чувствую ...силу.,なんだか力が…みなぎってきたぞ。
38,,getting stronger!,werde stärker!,toujours plus puissant !,¡cada vez más fuerte!,cada vez mais forte!,становлюсь сильнее!,強くなっている！
39,,i am become!,ich bin geworden!,je suis à fond !,¡estoy en plenitud!,estou pleno!,я стал!,スカルにふさわしい！
40,,"ohhhh, what's that do??","ohhhh, was tut das?","oh, ça fait quoi, ça ?","vaya, ¿eso qué hace?","huuum, o que isso faz??","оооо, что это делает??",うわぁ、あれは何をするんだ？？
41,,aahhh! mine! mine!,aahhh! meins! meins!,"aah ! Je veux, je veux !",¡aaah! ¡es mío! ¡mío!,ahhhh! é meu! é meu!,ааах! моё! моё!,うわぁ、あれは私のだ！
