ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,programming:##taylor miller#alex lorenz#marcus bunn,programmierer:##taylor miller#alex lorenz#marcus bunn,programmation :##taylor miller#alex lorenz#marcus bunn,programación:##taylor miller#alex lorenz#marcus bunn,programação:##taylor miller#alex lorenz#marcus bunn,программирование:#taylor#miller#alex lorenz#marcus bunn,プログラミング：##taylor miller#alex lorenz#marcus bunn
1,,art and direction:##alex lorenz,grafik und leitung:##alex lorenz,art et réalisation :##alex lorenz,arte y dirección:##alex lorenz,arte e direção:##alex lorenz,арт и#руководство:#alex lorenz,アート・制作指揮：##alex lorenz
2,,music and sfx:##sebastian zybowski,musik und sounds:##bastian zybowski,musique et sons :##sebastian zybowski,música y sonido:##sebastian zybowski,música e efeitos de som:##sebastian zybowski,музыка и звуки:#sebastian#zybowski,音楽・効果音：##sebastian zybowski
3,,--special thanks--,--ein danke schön an--,--remerciements--,--agradecimientos--,--agradecimentos especiais--,--особая благодарность--,--スペシャルサンクス--
4,,mmx#shadowspectre#vortexreaper#dabir#drthunderous#haku#spider#aquamancia##and all the users#of the uff forums,flan#mmx#shadowspectre#vortexreaper#dabir#drthunderous#haku#spider#aquamancia##und alle#uff forumbenutzer,mmx#shadowspectre#vortexreaper#dabir#drthunderous#haku#spider#aquamancia##et toutes les personnes#des forums de uff,mmx#shadowspectre#vortexreaper#dabir#drthunderous#haku#spider#aquamancia##y todos los usuarios#de los foros uff,mmx#shadowspectre#vortexreaper#dabir#drthunderous#haku#spider#aquamancia##e todos os usuários#dos fóruns uff,mmx#shadowspectre#vortexreaper#dabir#drthunderous#haku#spider#aquamancia#и всем#пользователям#форумов uff,mmx#shadowspectre#vortexreaper#dabir#drthunderous#haku#spider#aquamancia##そしてUFFフォーラムのみなさま
5,,eebrozgi#ebbo#zaarock,eebrozgi#ebbo#zaarock,eebrozgi#ebbo#zaarock,eebrozgi#ebbo#zaarock,eebrozgi#ebbo#zaarock,eebrozgi#ebbo#zaarock,eebrozgi#ebbo#zaarock
6,,jec#desertbrut#shmoopdev#scarf#shout#vine##and all the#aspiring yesdevs#of /agdg/,jec#desertbrut#shmoopdev#scarf#shout#vine##und alle yesdevs#der /agdg/,jec#desertbrut#shmoopdev#scarf#shout#vine##et tous les#dévelopeurs futurs#de /agdg/,jec#desertbrut#shmoopdev#scarf#shout#vine##y todos los#desarrolladores#de /agdg/,jec#desertbrut#shmoopdev#scarf#shout#vine##e todos os#virtuosos desenvolvedores#de /agdg/,jec#desertbrut#shmoopdev#scarf#shout#vine#и всем#начинающим#yesdevs#из /agdg/,jec#desertbrut#shmoopdev#scarf#shout#vine##および#/agdg/の意欲的なyesdevs#のみなさま
7,,erik johnson#and the#indie bros team,erik johnson#und das#indie bros team,erik johnson#et l'équipe#d'indie bros,erik johnson#y el#equipo de indie bros,erik johnson#e a#equipe da indie bros,erik johnson#и команде#indie bros,erik johnson#と#indie bros team
8,,all the people#who played the demo#and spread the word,alle demospieler#und fans,tous les gens#qui ont joué à la démo#et en ont parlé,todos los que#probaron la demo#y corrieron la voz,todas as pessoas#que jogaram a demo#e compartilharam o jogo,"все, кто играл в демо#и рассказывал о нём#и распространял слово",デモ版#をプレイして#拡散していただいたみなさま
9,,many more,viele mehr,à beaucoup d'autres,a muchos otros,a muitos outros,и многие другие,その他多くのみなさま
10,,and you,und du,et à toi,y a ti,e você,и тебе,画面の前のあなた
11,,-thank you for playing-,-vielen dank für das spielen-,-merci d'avoir joué-,-gracias por jugar-,-obrigado por jogar-,-спасибо за игру-,- プレイしていただきありがとうございます -
12,,the end?,ende?,fin ?,¿fin?,o fim?,конец?,終わり？
13,,-you've done your best-,-du hast getan was du könntest-,-tu as fait de ton mieux-,-lo has dado todo-,-você deu o seu melhor-,"-ты сделал всё, что мог-",- あなたはベストを尽くしました -
14,,an aki#niqnick#bulletdude#extruderx#ika#_kilburn#zarrotsu,an aki#niqnick#bulletdude#extruderx#ika#_kilburn#zarrotsu,an aki#niqnick#bulletdude#extruderx#ika#_kilburn#zarrotsu,an aki#niqnick#bulletdude#extruderx#ika#_kilburn#zarrotsu,an aki#niqnick#bulletdude#extruderx#ika#_kilburn#zarrotsu,an aki#niqnick#bulletdude#extruderx#ika#_kilburn#zarrotsu,an aki#niqnick#bulletdude#extruderx#ika#_kilburn#zarrotsu
15,,splash art:##psyk323,splash art:##psyk323,splash art :##psyk323,ilustraciones:##psyk323,ilustrações:##psyk323,заставочный#арт:#psyk323,スプラッシュアート：##psyk323
