ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
1,,forgotten,vergessener,l'oublié,el olvidado,o esquecido,забытый,忘れ去られし
2,,ringleader,anführer,chef de cercle,líder anular,líder do círculo,главарь,リングリーダー
10,,thirteenth,dreizehnt,treizième,decimotercero,décimo terceiro,тринадцатый,第１３の来訪者
16,,special,spezial,offre,oferta,especial,особый,特別
17,,offer,angebot,spéciale,especial,oferta,предложение,セール
19,,core,kern,noyau,núcleo,núcleo,ядро,コア
24,,nightmare,alptraum,cauchemar,pesadilla,pesadelo,кошмар,悪夢
25,,dont steal,nicht cool,dont steal,no robes,não roube,не воруй,盗むな
27,,the warden,aufseher,le gardien,el custodio,o diretor,надзиратель,看守
28,,the arbitor,der richter,l'arbitre,el arbitrador,o árbitro,арбитр,裁定者
29,,chaosgod,chaosgott,dieu du chaos,dios del caos,deus do caos,бог хаоса,カオスゴッド
30,,ace of storms,sturmass,as des tempêtes,as tormentoso,ás das tempestades,туз бурь,嵐のエース
31,,special offer,spezialangebot,offre spéciale,oferta especial,oferta especial,спецпредложение,特別セール
32,,the machine,die maschine,la machine,la máquina,a máquina,машина,マシン
33,,lucid dream,luzidtraum,rêve lucide,sueño lúcido,sonho lúcido,осознанный сон,明晰夢
