ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,you unlocked,du hast gefunden,tu as débloqué,has desbloqueado:,você desbloqueou,разблокировано,アンロックしました
1,,the sword,das schwert,l'épée,la espada,a espada,меч,ソード
2,,the razor,die klinge,le rasoir,la cuchilla,a navalha,бритва,サイクロン
3,,consecrated weap.,geweihte waffen,arme consacrée,arma sagrada,armas consagradas,освящённое оружие,聖別された武器
4,,antimagic weapons,antimag. waffen,armes anti-magie,armas antimagia,armas antimagia,антимагическое оружие,反魔法武器
5,,akashic weapons,akasha waffen,armes akashiques,armas akásicas,armas akásicas,акашическое оружие,アカシック武器
6,,disrupting weapons,disruptive waffen,armes perturbatrices,armas alteradoras,armas perturbadoras,разрушающее оружие,対機械武器
7,,deep freeze bombs,frierbomben,bombes glaciales,bombas congelantes,bombas de congelamento,бомбы глубокой заморозки,フリーズボム
8,,laser bombs,laser bomben,bombes laser,bombas láser,bombas de laser,лазерные бомбы,レーザーボム
9,,time bombs,zeitbomben,bombes temporelles,bombas de tiempo,bombas-relógio,бомбы замедленного действия,タイムボム
10,,second wind,aufschwung,second souffle,vida nueva,novo fôlego,второе дыхание,起死回生
11,,the mirror,der spiegel,le miroir,el espejo,o espelho,зеркало,鏡
12,,bestiary,bestiarium,bestiaire,bestiario,bestiário,бестиарий,図鑑
14,,trial i,prüfung i,épreuve i,prueba i,provação i,испытание i,試練 I
15,,trial ii,prüfung ii,épreuve ii,prueba ii,provação ii,испытание ii,試練II
16,,trial iii,prüfung iii,épreuve iii,prueba iii,provação iii,испытание iii,試練III
17,,trial iv,prüfung iv,épreuve iv,prueba iv,provação iv,испытание iv,試練IV
18,,sword ship,schwetschiff,vaisseau d'épées,nave espada,nave espada,корабль-меч,ソードシップ
19,,chaos ship,chaosschiff,vaisseau du chaos,nave caótica,nave do caos,корабль хаоса,カオスシップ
20,,second visitor,zweiter besucher,second visiteur,segundo visitante,segundo visitante,второй гость,第２の来訪者
21,,expensive seal,teurer siegel,sceau cher,sello caro,selo caro,дорогая печать,貴重な封印
22,,lethality,tödlichkeit,létalité,letalidad,letalidade,летальность,致死性
23,,pulsar,pulsar,pulsar,púlsar,pulsar,пульсар,パルサー
24,,thunderhead,kugelblitz,nuage d'orage,nube rayo,nuvem de trovoadas,грозовая туча,サンダーヘッド
25,,railgun,railgun,railgun,cañón riel,canhão de raios,рейлган,レールガン
26,,the drill,bohrwaffe,la foreuse,el taladro,a broca,бур,ドリル
27,,spear,speer,lance,lanza,lança,копьё,スピア
28,,runic gun,runenwaffe,arme runique,arma rúnica,arma rúnica,руническое оружие,ルーンガン
29,,swarmer pack,schwarmer paket,pack de bourdrones,pack zángano,pacote de enxamers,набор роевиков,スウォーマーパック
30,,care pack,verpflegung,pack de soin,pack de ayuda,pacote de assistência,набор помощи,支援パック
31,,seeds,seeds,seeds,semillas,seeds,семена,シード
32,,first visitor,erster besucher,premier visiteur,primer visitante,primeiro visitante,первый гость,第１の来訪者
33,,skull ship,schädelschiff,vaisseau crâne,nave calavera,nave caveira,корабль-череп,スカルシップ
34,,mirror bomb,spiegelbombe,bombe miroir,bomba reflectora,bomba refletora,зеркальная бомба,ミラーボム
35,,gold bomb,goldbombe,bombe d'or,bomba de oro,bomba de ouro,золотая бомба,ゴールドボム
36,,energy bomb,energiebombe,bombe d'énergie,bomba de energía,bomba de energia,энерго-бомба,エネルギーボム
37,,trial v,prüfung v,épreuve v,prueba v,provação v,испытание v,試練V
