ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,you hear nothing unusual past this door,diese tür ist komplett gewöhnlich,tu n'entends rien d'inhabituel#derrière cette porte,"tras esta puerta, no escuchas nada inusual",você não ouve nada de estranho atrás desta porta,you hear nothing unusual past this door,この先から特に変わった音は聞こえない
1,,you hear clattering coins,du hörst klattern der münzen,tu entends des pièces#qui s'entrechoquent,escuchas el repicar de unas monedas,você ouve o barulho de moedas,you hear clattering coins,ジャラジャラとコインの音が聞こえる
2,,you sense a new weapon past this door,du spürst eine neue waffe,tu sens une nouvelle arme#derrière cette porte,percibes un arma nueva tras la puerta,você sente que há uma nova arma atrás desta porta,you sense a new weapon past this door,ドアの向こうから新しい武器の気配を感じる
3,,you hear rushing water,du hörst rauschendes wasser,tu entends des eaux tumultueuses,escuchas agua corriente,você ouve água corrente,you hear rushing water,水のせせらぎが聞こえる
4,,you hear furious rattling,du hörst das rasseln der knochen,tu entends un bruit de ferraille,escuchas un ruido atronador,você ouve um barulho estrondoso,you hear furious rattling,骨がカタカタ鳴る音が聞こえる
5,,you see a bright light beyond this door,ein licht scheint durch diese tür,une lumière vive s'échappe#de cette porte,una luz brillante se escapa por la puerta,você vê que há uma luz brilhante atrás desta porta,you see a bright light beyond this door,眩い光が差し込んでいる
6,,you hear raging flames,du hörst furiöse flammen,tu entends des flammes déchaînées,escuchas unas llamas crepitando,você ouve o estalo de chamas furiosas,you hear raging flames,炎が激しく燃え上がる音が聞こえる
7,,you hear grinding stone,du hörst das schleifen der steine,tu entends une pierre d'affûtage,escuchas una piedras rechinando,você ouve o ranger de pedras,you hear grinding stone,石を砕く音が聞こえる
8,,you hear ominous chanting,du hörst ein chorus tiefer stimmen,tu entends des psalmodies sinistres,escuchas un cántico siniestro,você ouve cantos sinistros,you hear ominous chanting,不気味な詠唱が聞こえる
9,,you hear... chiptunes?,du hörst... videospielmusik?,tu entends... de la musique 8-bit ?,escuchas... ¿música de sintetizadores?,você ouve... música eletrônica de sintetizadores antigos?,you hear... chiptunes?,このドアの向こうから…チップチューン？
10,,strange sigils mark this door,seltsame zeichen markieren diese tür,cette porte est marquée#de sceaux étranges,la puerta está marcada con un sello raro,símbolos estranhos marcam esta porta,strange sigils mark this door,このドアには奇妙な印が施されている
11,,frigid air leaks through this door,kalte luft weht durch diese tür,un courant d'air froid s'échappe#de cette porte,un frío helador se escapa por la puerta,um ar gelado escapa por esta porta,frigid air leaks through this door,このドアからは冷気が漏れてくる
12,,you hear mechanisms clicking into place,du hörst das clicken von mechanismen,tu entends des déclics#de mécanismes,escuchas unos mecanismos encajando,você ouve o clique de mecanismos,you hear mechanisms clicking into place,機械の動作音が聞こえる
13,,you feel intense dread,du hast eine furchtbare vorahnung,tu ressens une peur intense,sientes un miedo abrumador,você sente um medo avassalador,you feel intense dread,恐ろしい予感がする
14,,a sign is here: 'the path of pain',der pfad der schemrzen beginnt hier,il y a un signe : « la voie de la douleur »,el letrero reza: 'la senda del dolor',uma placa indica: “o caminho da dor”,a sign is here: 'the path of pain',「苦痛の道」と書かれている
15,,you hear familiar sounds,etwas kommit dir bekannt vor,tu entends des sons familiers,escuchas sonidos conocidos,você ouve sons que parecem familiares,you hear familiar sounds,聞き覚えのある音がする
16,,the architecture here seems different,die architektur hier ist seltsam,l'architecture semble différente,este tipo de arquitectura parece distinto,há algo de diferente na arquitetura aqui,the architecture here seems different,ここの建築物はどれも奇妙だ
17,,err: stack overflow occurred in templegame,err: paketüberfluss ereignet im templegame,erreur : débordement de piles#dans le jeu du temple,error: desborde de pila en templojuego,erro: sobrecarga no pacote do jogo do templo,err: stack overflow occurred in templegame,エラー：寺院ゲームでスタックオーバーフローが発生しました
