ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,enemies,feinde ,ennemis,enemigos,inimigos,враги,敵
1,,rooms,räume,salles,salas,salas,комнаты,部屋
2,,rooms,räume,salles,salas,salas,комнаты,部屋
3,,score,score,score,puntuación,pontuação,счёт,スコア
4,,time spent,zeit benötigt,temps de jeu,tiempo empleado,tempo gasto,время,所要時間
5,,times hit,treffer genommen,coups reçus,impactos recibidos,vezes que foi atingido,попаданий,被弾数
6,,rooms explored,erforschte räume,salles explorées,salas exploradas,salas exploradas,исследовано комнат,探索した部屋
7,,secrets found,geheimräume gefunden,secrets trouvés,secretos hallados,salas secretas encontradas,найдено секретов,発見した隠し部屋
8,,new highscore,neuer highscore,nouveau record,nuevo récord,nova pontuação máxima,новый рекорд,新しいハイスコア
9,,your score,dein score,ton score,tu puntuación,sua pontuação,твой счёт,あなたのスコア
10,,old highscore,alter highscore,ancien record,récord anterior,pontuação máxima anterior,прошлый рекорд,これまでのハイスコア
11,,current highscore,momentaner highscore,record actuel,récord actual,pontuação máxima atual,текущий рекорд,現在のハイスコア
12,,your rank is ,dein rank ist ,ton rang :,rango obtenido:,sua classificação é,твой ранг: ,あなたのランク：
13,,seals broken,siegel gebrochen,sceaux brisés,sellos rotos,selos quebrados,печатей сломано,解かれた封印
