ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,sup,hi,la forme,hola,olá,привет,やぁ
1,,talk,reden,parler,hablar,falar,поговорить,話す
2,,enter,eintreten,entrer,entrar,entrar,войти,入る
3,,hail,gruß dich,salut,buenas,saudação,здарова,声をかける
4,,..?,..?,... ?,¿?,..?,..?,..?
5,,inspect,anschauen,examiner,examinar,examinar,осмотреть,調べる
6,,...,...,...,...,...,...,…
7,,yes,ja,oui,sí,sim,да,はい
8,,no,nein,non,no,não,нет,いいえ
9,,cancel,abbrechen,annuler,cancelar,cancelar,отмена,キャンセル
10,,pssst,pssst,psst,pssst,pssst,псст,シーッ
11,,lets go,los gehts,allons-y,vamos,vamos lá,поехали,スタート！
12,,greetings,willkommen,bienvenue,saludos,boas-vindas,приветствие,挨拶する
13,,read,lesen,lire,leer,ler,читать,読む
14,,give up,aufgeben,abandonner,rendirse,desistir,сдаться,あきらめる
15,,exit,verlassen,sortir,salir,sair,выход,終了
16,,activate,aktivieren,activer,activar,ativar,активировать,起動する
17,,gamble,würfeln,parier,lanzar,apostar,рискнуть,ギャンブル
18,,reflect,schauen,réfléchir,reflejarse,refletir,отразить,映し出す
19,,play,spielen,jouer,jugar,jogar,играть,プレイ
20,,open,öffnen,ouvrir,abrir,abrir,открыть,開く
21,,use,benutzen,utiliser,usar,usar,использовать,使う
22,,skip,überspringen,passer,saltar,pular,пропустить,スキップ
23,,mods,mods,mod,mod,mod,моды,ＭＯＤ
