ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,magnifying glass,vergrößerungsglass,loupe,lupa,lupa,лупа,虫メガネ
1,,firecracker,knaller,pétard,petardo,rojão,петарда,爆竹
2,,victory sign,siegeszeichen,signe de victoire,señal de la victoria,sinal de vitória,знак победы,勝利のサイン
3,,golden star,goldstern,étoile dorée,estrella dorada,estrela dourada,золотая звезда,金の星
4,,cool sunglasses,sonnenbrillen,lunettes cool,gafas molonas,óculos de sol descolados,крутые очки,イケてるサングラス
5,,spyglass,fernglass,longue-vue,catalejo,luneta,подзорная труба,双眼鏡
6,,hat,hut,chapeau,sombrero,chapéu,шляпа,帽子
7,,plate,platte,plaque,placa,chapa,броня,装甲
8,,13 leaf clover,13-kleeblatt,trèfle à 13 feuilles,trébol de 13 hojas,trevo de 13 folhas,клевер на 13 листьев,十三葉のクローバー
9,,mining hat,bergbauerhut,casque de mineur,casco de minería,capacete de mineração,шахтёрская каска,採掘ヘルメット
10,,rocket,rakette,fusée,cohete,foguete,ракета,ロケット
11,,cloak,mantel,cape,capa,manto,плащ,マント
12,,syringe,spritze,seringue,jeringuilla,seringa,шприц,注射器
13,,electrode,elektrode,électrode,electrodo,eletrodo,электрод,電極
14,,trumpet,horn,trompette,trompeta,trompete,труба,トランペット
15,,dagger,dolch,dague,daga,punhal,кинжал,ダガー
16,,member card,klubkarte,carte de membre,carné de miembro,cartão de sócio,членская карта,メンバーカード
17,,pickaxe,spitzhacke,pioche,pico,picareta,кирка,つるはし
18,,hammer,hammer,marteau,martillo,martelo,молот,ハンマー
19,,glowing rune,glühende rune,rune luisante,runa brillante,runa brilhante,светящаяся руна,光るルーン
20,,treasure chest,schatztruhe,coffre à trésor,cofre del tesoro,baú de tesouro,сундук с сокровищами,宝箱
21,,err: integer overflow,err: integer überlauf,erreur : dépassement d'entier,error: rango excedido,erro: intervalo excedido,ошибка: переполнение целого,エラー：整数オーバーフロー
22,,battery,batterie,batterie,batería,bateria,батарейка,電池
23,,broken mirror,gebrochener spiegel,miroir brisé,espejo roto,espelho quebrado,разбитое зеркало,割れた鏡
24,,crowbar,brechstange,pied-de-biche,palanca,pé de cabra,монтировка,バール
25,,gun,gewehr,arme à feu,pistola,pistola,ствол,銃
26,,calculator,taschenrechner,calculatrice,calculadora,calculadora,калькулятор,電卓
27,,bulwark,schild,rempart,bastión,baluarte,бастион,防御壁
28,,plug,stecker,prise,enchufe,plugue,вилка,プラグ
29,,braveheart,mutherz,courage,corazón osado,coração valente,храброе сердце,勇敢な心
30,,scope,visier,viseur,mira larga,mira,прицел,スコープ
31,,crackshot,schnappschuss,bon tireur,tiro experto,tiro rápido,меткий стрелок,クラックショット
32,,reflector,reflektor,réflecteur,reflector,refletor,отражатель,リフレクター
33,,garbage data?,abfalldata?,données inutiles ?,¿datos basura?,dados inúteis?,мусорные данные?,ごみデータ？
34,,magic sword,mag. schwert,épée magique,espada mágica,espada mágica,волшебный меч,魔法の剣
35,,magic shield,mag. schild,bouclier magique,escudo mágico,escudo mágico,волшебный щит,魔法の盾
36,,magic rod,mag. stab,bâton magique,vara mágica,vara mágica,волшебный жезл,魔法のロッド
37,,magic pack,mag. tasche,pack magique,bolsa mágica,pacote mágico,волшебный рюкзак,魔法のカバン
38,,templegame,tempelspiel,jeu du temple,templojuego,jogo do templo,храмовая игра,寺院ゲーム
39,,power core,kraftkern,noyau de pouvoir,núcleo de poder,núcleo de poder,силовое ядро,パワーコア
40,,ironheart,eisenherz,cœur de fer,corazón férreo,coração de ferro,железное сердце,鉄の心
41,,transfusion,transfusion,transfusion,transfusión,transfusão,переливание,輸血
42,,credit card,kreditkarte,carte bancaire,tarjeta de crédito,cartão de crédito,кредитная карта,クレジットカード
43,,bandage,verband,pansement,venda,curativo,бинт,包帯
44,,contract,kontrakt,contrat,contrato,contrato,контракт,契約
45,,blast powder,knallpulver,poudre explosive,pólvora,pólvora,взрывной порошок,火薬
46,,jackhammer,presslufthammer,marteau-piqueur,martillo neumático,britadeira,отбойный молоток,削岩機
47,,flag,flagge,drapeau,bandera,bandeira,флаг,旗
48,,kunai,kunai,kunai,kunai,kunai,кунай,クナイ
49,,robot honey,roboterhönig,miel à robot,miel para bots,mel para robôs,роботный мёд,ロボットはちみつ
50,,needle,nadel,aiguille,aguja,agulha,игла,針
51,,broken wand,gebrochener stab,baguette cassée,varita rota,varinha quebrada,сломанный посох,折れた杖
52,,juggernaut,koloss,colosse,mastodonte,rolo compressor,джаггернаут,ジャガーノート
53,,little flame,kleine flamme,petite flamme,llamita,pequena chama,маленький огонёк,小さき炎
54,,grudge,groll,rancune,rencor,rancor,злоба,恨み
55,,pillow,kissen,coussin,cojín,almofada,подушка,枕
56,,juicebox,packung saft,brique de jus,cargador,caixa de suco,пакет сока,ジュースパック
57,,nautilus,nautilus,nautilus,nautilus,náutilo,наутилус,オウムガイ
58,,ace of hearts,herzass,as de cœur,as de corazones,ás de coração,туз червей,ハートのエース
59,,ace of diamonds,karoass,ace de carreau,as de diamantes,ás de diamantes,туз бубён,ダイヤのエース
60,,ace of spades,pikass,as de pique,as de picas,ás de espadas,туз пик,スペードのエース
61,,ace of clubs,ass der stäbe,as de trèfle,as de tréboles,ás de paus,туз трефей,クラブのエース
62,,ace of coins,ass der münzen,as de denier,as de oros,ás de ouros,туз монет,コインのエース
63,,ace of cups,ass der pokale,as de coupe,as de copas,ás de copas,туз кубков,カップのエース
