ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,up,oben,haut,arriba,para acima,вверх,上
1,,left,links,gauche,izquierda,esquerda,влево,左
2,,down,unten,bas,abajo,para baixo,вниз,下
3,,right,rechts,droite,derecha,direita,вправо,右
4,,select,select,choisir,selección,selecionar,выбор,選択
5,,cancel,abbrechen,annuler,cancelar,cancelar,отмена,キャンセル
6,,fire,feuer,tirer,disparo,disparar,огонь,ショット
7,,dash,tauch,propulsion,impulso,acelerar,рывок,ダッシュ
8,,bomb,bombe,bombe,bomba,bomba,бомба,ボム
9,,map,karte,carte,mapa,mapa,карта,マップ
